what_country_do_you_currently_live_in,yes_one_or_more_children,approximately_what_is_the_size_of_your_employer's_workforce,which_of_the_following_groups_best_describes_the_organization_that_you_work_for,which_of_the_following_groups_best_describes_your_employment_level,family_commitments,i_avoid_discussions_about_salary_and_incentives,leadership_opportunities,how_long_have_you_worked_for_your_current_employer,i_let_my_manager_know_what_i_want_with_the_expectation_that_it_will_generate_growth_opportunities,i_pursue_job_opportunities_even_if_i_do_not_fulfill_all_of_the_requirements_on_a_job_description,i_trust_that_i_am_compensated_appropriately_for_my_accomplishments
6,0,1,9,1,0,1,1,1,1,1,1
4,0,0,8,1,0,1,1,0,1,1,0
0,0,1,2,0,1,0,0,0,0,1,1
0,1,0,0,0,0,1,1,0,0,1,0
1,1,0,8,1,1,0,1,0,1,1,0
9,1,0,7,0,1,0,0,1,0,1,0
8,0,0,2,0,1,0,0,0,1,1,1
2,1,1,1,1,0,1,1,1,1,1,1
1,0,0,1,1,1,1,0,1,1,1,1
0,1,1,1,1,0,1,1,0,1,1,1
3,0,1,1,0,0,0,1,1,0,1,1
5,1,0,1,1,1,0,1,0,0,1,1
1,1,1,5,1,0,1,1,1,1,1,1
6,1,1,8,0,1,0,1,0,0,1,0
5,1,1,5,1,1,0,1,0,0,1,1
1,0,1,2,0,1,0,1,0,1,0,1
8,1,1,1,0,1,1,1,1,1,1,1
9,0,1,6,0,0,0,1,1,1,1,1
0,0,1,4,0,1,0,0,0,0,0,0
3,1,1,1,1,0,1,1,0,0,1,1
0,1,0,6,0,1,0,1,0,0,0,0
7,1,1,0,0,1,1,1,1,1,1,1
2,0,1,2,1,0,1,1,1,1,1,1
4,0,0,0,1,1,0,0,0,1,1,1
3,0,1,2,0,1,1,1,0,0,1,1
0,1,0,6,1,1,1,1,0,0,1,0
7,0,1,1,1,0,1,1,0,0,1,0
2,1,1,1,1,0,1,1,1,1,1,1
4,0,0,0,0,1,0,0,0,0,1,1
9,0,1,5,0,1,0,0,0,0,1,0
5,0,0,3,1,0,0,0,0,0,1,1
2,1,1,2,1,0,1,1,0,1,1,1
7,0,0,8,1,0,1,1,0,0,1,1
0,1,1,7,1,0,1,1,1,1,1,1
8,0,1,0,1,0,0,1,0,0,0,0
0,0,1,2,1,0,1,1,0,1,1,1
6,1,0,0,1,1,1,1,0,1,1,1
6,1,1,4,1,1,1,1,0,1,0,0
9,1,1,1,1,1,1,0,0,0,1,0
7,0,1,5,1,0,0,0,0,0,1,0
3,0,0,8,1,0,0,1,0,0,1,1
6,1,1,8,1,0,1,1,1,1,1,1
8,1,0,1,1,1,1,0,0,1,0,0
9,0,1,3,1,0,1,1,0,0,1,1
6,0,0,2,0,1,0,1,0,0,0,0
1,1,1,3,1,0,0,0,0,0,0,0
8,1,1,8,1,0,1,1,0,1,1,1
4,0,0,7,1,0,1,1,0,1,1,0
7,1,0,6,1,1,0,1,0,1,1,1
8,0,1,7,0,1,1,1,0,1,1,1
7,1,0,6,0,1,1,0,0,0,0,0
3,0,1,3,1,0,1,1,0,1,1,1
4,0,1,4,1,0,1,1,1,1,1,1
1,1,0,0,1,1,0,0,0,0,1,0
6,0,0,6,1,0,0,1,0,0,1,1
6,0,1,3,1,0,1,1,0,1,1,1
0,0,1,4,0,1,0,0,0,0,0,1
1,0,0,0,1,0,1,0,0,1,1,0
2,1,1,4,0,1,0,1,1,1,1,1
2,0,1,5,0,1,0,0,0,0,1,0
3,1,0,1,0,0,0,1,0,1,1,1
0,1,1,8,1,0,1,1,0,1,1,0
2,1,1,3,1,0,1,1,0,0,1,0
9,0,1,3,1,0,1,1,1,1,1,1
4,0,0,4,0,1,1,0,0,1,1,1
8,0,1,8,1,0,1,1,1,1,1,1
8,1,1,1,1,0,1,1,0,1,1,1
9,0,1,3,1,1,1,1,0,0,1,1
4,0,1,3,1,0,1,1,1,1,1,1
3,0,0,2,0,1,1,0,1,0,0,1
1,0,0,3,1,1,0,1,0,1,0,0
9,1,1,1,1,1,0,1,0,0,1,1
1,0,1,1,1,1,0,0,0,0,1,1
8,1,1,3,1,0,1,1,1,1,1,1
3,1,0,2,0,1,0,1,0,1,1,1
9,1,1,3,1,0,1,1,1,1,1,1
4,0,1,2,1,1,1,1,0,1,0,0
0,0,1,2,0,0,0,0,1,0,1,1
0,0,1,3,1,0,1,1,1,1,1,1
2,0,0,3,0,1,0,0,1,0,1,1
9,0,0,6,1,1,0,1,0,1,1,1
4,1,0,1,1,1,0,1,0,0,1,0
8,1,0,0,1,0,0,1,1,1,1,1
3,0,0,6,1,1,0,0,0,0,1,1
4,1,1,2,1,1,0,0,0,1,1,0
6,0,1,6,1,0,0,1,0,0,1,1
4,0,0,6,0,0,1,1,0,0,0,0
4,0,1,8,1,0,1,0,0,1,1,1
2,0,1,3,0,1,0,0,1,0,0,1
9,1,1,1,1,0,1,1,0,1,0,0
2,0,1,2,0,1,1,0,0,0,0,1
7,1,0,0,0,1,0,0,1,1,1,1
9,1,0,4,1,1,1,0,0,1,1,1
7,0,1,6,1,0,1,1,1,1,1,1
4,1,0,8,1,1,1,1,0,0,1,1
0,0,1,5,0,0,0,0,0,0,0,1
1,0,1,6,0,1,0,0,0,0,1,0
7,1,0,0,0,1,1,1,1,1,1,0
0,1,1,9,1,0,1,1,1,1,1,1
8,1,1,3,1,1,1,0,0,1,1,0
9,0,1,4,1,0,1,1,0,1,1,1
2,1,1,1,1,0,1,1,1,1,1,1
6,0,1,6,0,0,0,1,1,1,1,1
2,1,0,5,0,1,0,1,0,0,1,1
3,1,1,9,1,0,1,1,1,1,1,1
5,0,0,4,0,1,0,0,0,0,0,1
1,1,0,0,0,1,0,1,0,0,1,0
1,1,1,4,0,1,1,1,0,1,1,1
9,1,0,8,1,0,1,1,0,1,1,0
8,1,1,6,1,0,1,1,1,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1
2,1,1,6,1,1,1,1,0,0,1,0
8,0,1,3,1,0,1,1,1,1,1,1
9,0,1,6,0,1,0,1,0,1,0,1
4,1,1,2,0,1,0,0,0,1,1,1
2,1,0,2,1,1,1,1,0,1,1,0
9,0,0,0,0,1,0,0,0,0,0,0
8,1,1,5,0,1,1,1,1,1,1,0
8,1,1,7,1,0,1,1,1,1,1,1
1,1,1,3,0,1,0,1,1,1,0,0
8,1,0,0,0,1,1,0,0,1,1,0
7,0,1,2,1,0,1,1,0,1,1,1
0,0,1,3,1,0,1,1,1,1,1,1
9,0,1,5,0,1,0,0,1,0,0,1
6,0,0,5,1,1,0,1,0,1,1,1
4,0,0,5,1,1,1,1,0,1,1,1
8,0,1,8,1,0,1,1,0,1,1,1
0,1,1,1,0,1,0,1,0,1,1,1
1,0,1,6,1,0,1,1,0,1,1,1
0,1,1,4,0,1,1,1,1,0,0,0
8,1,1,6,1,1,1,1,0,0,0,0
5,1,0,5,1,0,0,0,0,0,1,1
8,0,1,1,1,0,1,1,0,1,1,0
0,0,1,3,1,0,1,1,0,1,1,1
7,1,1,8,1,0,1,1,0,1,1,1
9,0,1,5,1,1,0,1,0,1,1,1
5,0,1,6,0,1,1,0,1,1,0,1
10,1,1,7,1,0,1,1,1,1,1,1
3,0,0,3,1,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,0
8,1,1,7,1,0,1,1,0,1,1,1
3,0,1,8,1,0,1,0,0,1,1,1
8,0,1,1,1,0,1,1,0,1,1,0
5,1,0,6,1,1,1,0,0,1,1,1
3,0,0,4,0,0,1,1,0,0,0,0
9,0,0,5,1,1,0,1,1,0,1,1
9,1,1,3,1,0,1,1,1,1,1,1
1,1,1,3,1,1,1,1,0,1,1,0
6,1,1,2,0,1,0,0,0,1,1,0
8,1,1,5,1,0,0,1,1,1,1,1
2,1,1,7,1,0,1,1,1,1,1,1
3,0,1,3,1,0,1,1,1,0,0,0
8,0,1,9,1,0,1,1,1,1,1,1
3,0,0,2,1,0,1,1,0,1,1,1
8,0,1,1,0,1,0,0,0,1,1,1
8,1,0,8,1,1,1,1,0,1,1,1
0,1,1,0,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,1,1,0,1,1
0,0,1,2,1,0,1,1,1,1,1,1
1,1,1,1,0,1,0,1,1,0,1,0
6,0,0,1,1,1,0,0,1,1,1,1
0,1,1,5,1,1,0,1,0,1,0,0
6,1,0,3,1,1,1,0,0,1,1,1
2,1,0,3,1,1,0,1,0,0,0,0
9,0,1,0,1,0,1,1,0,1,1,1
0,1,0,6,1,0,1,0,0,0,1,1
1,0,1,1,1,0,0,1,0,1,1,1
3,1,0,0,0,1,0,1,1,0,1,1
0,1,0,4,1,1,1,0,0,0,1,0
1,1,1,9,1,0,1,1,1,1,1,1
1,0,1,1,1,0,1,0,0,0,1,1
9,0,0,1,1,1,0,1,0,0,1,1
3,0,1,9,1,0,1,1,1,1,1,1
3,1,1,6,1,1,1,1,0,0,0,0
3,1,0,2,0,1,0,0,1,1,0,1
6,0,1,6,1,1,1,1,0,1,1,1
1,1,0,0,1,0,0,1,0,1,1,1
1,1,0,0,0,1,1,0,0,0,0,0
8,1,1,0,0,1,1,1,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,0,1,1,1,1,0,0,0
7,1,1,1,1,1,1,1,0,1,1,0
8,0,1,8,1,0,1,1,1,1,1,1
4,0,1,4,0,1,0,0,0,0,1,1
8,0,1,2,1,0,0,1,0,0,0,0
8,1,1,7,1,0,1,1,1,1,1,1
1,1,1,3,1,0,1,1,1,1,1,1
5,0,1,5,1,0,1,1,0,1,0,0
8,0,1,9,1,0,1,1,0,1,1,1
4,1,0,1,1,0,1,0,0,1,1,0
0,1,1,6,1,1,0,1,0,1,1,1
7,0,1,6,0,1,1,0,1,0,1,1
4,1,1,4,1,0,1,1,0,1,1,1
8,0,1,8,1,0,1,1,0,1,1,1
7,1,0,1,1,0,1,1,0,0,1,1
7,0,1,2,0,1,0,0,0,1,0,0
3,0,1,2,1,0,0,1,1,1,1,1
2,0,1,5,0,0,0,1,0,0,0,0
8,1,0,0,0,1,1,0,1,0,0,0
6,0,0,2,1,0,0,1,0,0,1,1
1,1,1,3,1,1,1,0,1,0,0,0
7,1,0,8,1,1,1,1,0,1,0,0
8,0,1,8,1,0,1,1,1,1,1,1
7,1,0,2,1,1,1,1,0,1,0,0
2,0,1,3,1,0,1,1,0,0,1,1
8,1,1,8,1,0,1,1,1,1,1,1
8,1,0,6,0,0,0,0,1,1,1,0
8,1,1,7,1,0,1,1,1,1,1,1
6,1,1,9,1,0,1,1,0,1,1,1
1,1,0,1,1,1,1,1,0,1,1,1
8,1,1,9,1,0,1,1,1,1,1,1
1,1,1,2,1,0,0,1,1,1,1,1
7,0,1,3,1,0,1,1,1,1,1,1
2,1,0,0,1,1,1,1,0,1,1,1
10,1,1,2,1,0,1,1,1,1,1,1
1,1,0,3,1,1,1,1,0,1,1,1
0,1,1,8,0,1,0,1,1,0,1,0
9,1,1,7,1,0,1,1,1,1,1,1
8,0,1,3,1,0,1,0,0,1,1,0
8,1,1,4,1,1,1,0,0,1,1,1
1,0,0,3,1,1,1,1,1,0,1,1
9,0,1,5,0,1,0,0,0,1,1,0
1,0,0,5,1,1,0,0,1,0,1,1
9,1,1,4,1,0,1,1,0,1,1,1
3,0,1,8,1,1,0,1,0,1,1,1
0,1,1,7,1,1,1,1,0,1,1,0
4,0,1,2,0,1,0,0,0,1,1,0
3,1,1,7,1,1,0,0,0,1,0,0
9,1,1,6,0,1,1,0,1,0,0,0
0,1,1,4,0,1,1,1,0,1,1,1
0,0,1,5,1,1,0,0,1,0,1,1
6,1,1,0,0,1,0,1,1,1,1,0
4,1,1,4,1,0,1,1,0,1,1,1
8,1,0,1,1,0,1,1,0,1,1,0
8,1,0,4,1,1,0,0,0,1,1,0
0,1,0,6,1,1,1,0,0,1,1,0
6,1,1,7,1,0,1,1,1,1,1,1
6,1,0,2,1,1,1,1,0,1,1,0
1,0,0,1,1,1,0,1,1,0,1,1
9,1,0,0,0,1,1,1,0,1,1,1
6,0,1,2,1,0,1,1,0,1,1,1
8,1,1,1,1,0,1,1,0,1,1,1
5,1,0,1,1,1,1,1,0,0,1,0
0,0,0,5,1,0,1,0,1,0,0,0
0,0,0,2,0,1,0,0,0,1,0,1
8,0,0,2,0,1,0,0,0,1,1,0
7,1,0,2,1,1,0,1,0,0,1,0
0,1,0,2,1,1,0,0,0,1,1,0
7,0,0,4,1,0,1,0,0,0,0,0
2,1,0,2,0,1,0,0,0,1,1,0
5,1,1,3,0,1,1,0,0,0,0,0
8,1,1,9,1,0,1,1,1,1,1,1
5,1,1,8,1,0,1,1,0,1,1,1
8,0,1,2,0,1,0,0,1,0,1,1
7,0,0,1,1,1,0,1,0,0,1,1
4,0,1,3,1,1,0,0,0,1,0,0
8,0,1,4,0,1,0,0,0,0,1,0
5,1,1,1,1,0,1,1,0,1,1,1
0,0,0,2,1,0,1,1,0,0,0,1
1,0,0,0,1,1,1,1,0,0,1,1
8,0,1,9,1,0,1,1,1,1,1,1
2,1,0,0,1,1,0,1,0,0,1,0
8,0,1,4,1,0,1,1,0,1,1,1
6,1,1,1,1,0,1,1,0,1,1,1
1,1,1,8,0,1,0,1,0,1,1,1
4,1,1,0,0,1,0,1,0,0,1,1
8,1,1,1,1,0,1,1,0,1,1,1
5,1,1,2,1,1,1,1,0,1,1,1
8,0,1,8,1,0,1,1,0,1,1,1
